typeName,gid,containerid

热门,102803,102803

实时,102803600343,102803_ctg1_600343_-_ctg1_600343

同城,1028032222,102803_2222

榜单,102803600169,102803_ctg1_600169_-_ctg1_600169

社会,1028034188,102803_ctg1_4188_-_ctg1_4188

体育,1028031388,102803_ctg1_1388_-_ctg1_1388

情感,1028031988,102803_ctg1_1988_-_ctg1_1988

美食,1028032688,102803_ctg1_2688_-_ctg1_2688
